microbes	mikrober
fungi	sopp
exploit	utnytte
eradication	utryddelse
smallpox	kopper
severe	alvorlig
venereal_disease kjønnssykdom
abundantly	rikelig
negligible	ubetydelig
dormant	sovende
perturbed	opprørt
dosages	doser
badgers	grevlinger
cattle	storfe
prevails råder
distinguish	skille
arbitrary	vilkårlig
adequate	tilstrekkelig
prevalence	utbredelse
decline	nedgang
endure	holder_ut
contaminate	forurenser
feral	villt
habitats	leveområder
pastures	beite
wane	avta
incidence	forekomst	hendelse
duration	varighet
intervention	inngripen
tenacious	seig
autopsy	obduksjon
cultivated	dyrket
temporal	timelig
contagious	smittsom
vast	enorm
emanates	springer_ut
dispersal	spredning
assemblage	samling
facilitation	tilrettelegging
exhibited	utstilt
dilute	fortynne
inhibitory	hemmende
excitatory	stimulerende
convey	formidle
admit	innrømme
omitting	utelate
invariant	upåvirket
origin	opprinnelse
trajectories	baner
evolve	utvikle_seg
perturbation	forstyrrelse
propagation	forplantning
denote	betegne
latitude	breddegrad
alluded	antydet
rapidly	raskt
convenience	praktisk
refuge	tilflukt
solely	utelukkende
infestation	angrep
admissible	tillatelig
persuasively	overtalende
viable	levedyktig
confined	begrenset
emphasis	vekt
customarily	vanligvis
bounded	avgrenset
substituting	erstatte
trait	egenskap
mortality	dødelighet
culling	selektiv_avlivning
violate	krenke
abated	avtatt
plague	pest
hatched	klekket
vividly	levende
conjures	maner
prolonged	langvarig
agony	dødskamp
attributed	tilskrevet	skyldes
prominent	fremtredende
vertebrates	virveldyr
extant	bevart
inevitable	uunngåelig
ghastly	uhyggelig
opted	valgt
reiterate	gjenta
absence	fravær


